Borough,Control,Condition of External Walls,Condition of Windows,Condition of Stairways,Condition of Floors,Condition of Building,Number of Units in Building,Complete Plumbing Facilities,Toilet Breakdowns,Kitchen Facilities Functioning,Monthly Contract Rent,Senior Citizen Rent Increase Exemption (SCRIE),Public Assistance Shelter Allowance,Another Federal Housing Subsidy Program,Another State or City Housing Subsidy Program,Heating Equipment Breakdown,Exterminator Service,Cracks or Holes in Interior Walls or Ceiling,Broken Plaster or Peeling Paint on Ceiling or Inside Walls,Water Leakage Inside Apartment,Year Built,Owner in Building,Length of Lease,Race,New Rent Law,Old,More_units,Brooklyn,Manhattan,Staten Island,Bronx,score,good
4,1,999919,99919,991999,999919,2,8,0,2,1,1700,9,2,2,2,0,1,2,1,1,7,2,2,4,1,1,0,0,0,0,0,6,0
2,0,999919,99919,991999,999919,8,7,0,2,1,1050,9,2,2,1,1,1,2,1,2,9,2,6,2,1,1,0,1,0,0,0,10,1
4,1,999919,99919,991999,999919,2,11,0,2,1,1180,9,2,2,2,0,4,1,0,2,8,2,4,2,1,1,0,0,0,0,0,4,0
4,1,999919,99919,991999,999919,2,10,0,8,8,1200,9,2,2,2,8,8,8,8,8,8,8,8,1,1,1,0,0,0,0,0,4,0
4,0,999919,99919,991999,999919,2,3,0,2,1,1600,9,2,2,2,1,4,2,1,2,1,1,5,4,1,0,0,0,0,0,0,10,1
2,1,999919,99919,991999,999919,2,5,0,8,8,1615,9,2,2,2,8,8,8,8,8,1,8,8,1,1,0,0,1,0,0,0,4,0
4,1,999919,99919,991999,999919,2,11,0,2,1,1600,9,2,2,2,0,1,2,0,2,8,3,2,4,1,1,0,0,0,0,0,6,0
3,1,999919,99919,991999,999919,2,12,0,8,8,1800,9,2,2,2,8,8,8,8,8,9,1,8,1,1,1,1,0,1,0,0,4,0
1,1,999919,99919,991999,999919,8,11,0,2,1,814,9,2,2,2,1,1,1,1,2,8,2,2,2,1,1,0,0,0,0,1,8,1
3,0,999919,99919,991999,999919,2,13,0,2,1,7999,2,2,2,2,1,1,2,1,2,4,2,4,1,1,0,1,0,1,0,0,10,1
3,1,999919,99919,991999,999919,2,5,0,2,1,2750,9,2,2,2,1,5,2,1,2,9,1,2,1,1,1,0,0,1,0,0,10,1
2,1,999919,99919,991999,999919,2,8,0,8,8,1525,9,2,2,2,8,8,8,8,8,7,8,8,1,1,1,0,1,0,0,0,4,0
2,1,999919,99919,991999,999919,2,11,0,2,1,1250,9,2,2,2,8,8,8,8,8,7,2,8,2,1,1,0,1,0,0,0,6,0
4,1,999919,99919,919999,999919,2,8,0,2,1,1200,9,2,2,2,1,1,2,1,2,7,2,6,1,1,1,0,0,0,0,0,8,1
2,1,999919,91999,991999,999919,2,11,0,2,1,1012,9,2,2,2,0,1,2,0,1,7,2,2,2,1,1,0,1,0,0,0,2,0
2,0,999919,99919,991999,999919,2,4,0,8,8,850,9,2,2,2,8,8,8,8,8,7,8,8,2,1,1,0,1,0,0,0,4,0
4,0,999919,99919,991999,999919,2,13,0,1,1,1075,9,2,2,2,1,5,2,1,2,5,3,2,4,1,0,1,0,0,0,0,8,1
3,1,999919,99919,991999,999919,2,11,0,2,1,1225,9,2,2,2,1,1,2,0,1,8,2,2,1,1,1,0,0,1,0,0,6,0
3,0,999919,99919,991999,999919,2,13,0,2,1,4500,9,2,2,2,1,1,2,1,1,5,2,3,1,1,0,1,0,1,0,0,8,1
2,1,999919,99919,991999,999919,2,10,0,8,8,2500,9,2,2,2,8,8,8,8,8,1,2,8,1,1,0,0,1,0,0,0,4,0
2,0,999919,99919,991999,999919,2,3,0,1,1,1600,9,2,2,2,1,4,2,1,2,7,2,2,2,1,1,0,1,0,0,0,8,1
2,0,999919,99919,991999,999919,2,4,0,2,1,1700,9,2,2,2,0,3,2,1,2,9,2,4,1,1,1,0,1,0,0,0,8,1
4,0,999919,99919,991999,999919,2,3,0,1,1,1000,9,2,2,2,1,2,2,1,2,8,1,6,1,1,1,0,0,0,0,0,8,1
4,0,999919,99919,991999,999919,2,1,0,2,1,1600,2,2,2,2,1,4,2,1,2,6,2,4,1,1,0,0,0,0,0,0,10,1
1,1,999919,99919,991999,999919,2,10,0,2,1,980,9,2,2,2,0,1,1,1,1,9,2,4,1,1,1,0,0,0,0,1,4,0
2,0,999919,99919,991999,999919,2,3,0,2,1,1300,9,2,2,2,1,2,2,1,2,7,1,8,2,1,1,0,1,0,0,0,10,1
1,1,999919,99919,199999,999919,3,9,0,2,1,1450,2,2,2,2,1,1,1,0,2,9,2,4,2,1,1,0,0,0,0,1,4,0
3,1,999919,99919,991999,999919,2,13,0,2,1,1200,2,2,2,2,1,1,2,8,8,7,3,2,2,1,1,1,0,1,0,0,8,1
3,1,999919,99919,991999,999919,2,13,0,2,1,995,9,2,2,2,1,2,2,1,2,6,2,4,2,1,0,1,0,1,0,0,10,1
2,1,999919,19999,999991,999991,2,8,0,2,1,905,9,2,2,2,0,5,1,0,1,7,2,2,2,1,1,0,1,0,0,0,-2,0
4,0,999919,99919,991999,999919,2,3,0,2,1,1600,9,2,2,2,0,2,2,1,2,2,1,6,1,1,0,0,0,0,0,0,8,1
2,1,999919,99919,991999,999919,2,11,0,2,1,1071,9,2,2,2,1,1,2,8,2,8,3,2,2,1,1,0,1,0,0,0,9,1
5,1,999919,99919,991999,999919,2,11,0,2,1,750,9,1,2,2,0,1,2,1,2,7,2,4,1,1,1,0,0,0,1,0,8,1
2,1,999919,99919,991999,999919,2,9,0,2,1,1007,9,2,2,2,1,1,2,1,1,9,2,4,2,1,1,0,1,0,0,0,8,1
5,0,999919,99919,991999,999919,2,3,0,2,1,1250,9,2,2,2,1,2,2,1,1,5,2,2,1,1,0,0,0,0,1,0,8,1
2,0,999919,99919,991999,999919,2,1,0,2,8,1000,9,2,2,1,1,1,2,1,2,7,2,6,2,1,1,0,1,0,0,0,9,1
4,1,999919,99919,991999,999919,2,13,0,2,8,1170,2,2,2,2,1,1,2,0,2,5,2,4,4,1,0,1,0,0,0,0,7,0
1,1,999919,99919,991999,999919,2,12,0,1,1,1900,9,2,2,2,0,3,1,0,2,7,3,2,2,1,1,1,0,0,0,1,2,0
1,0,999919,99919,991999,999919,2,4,0,2,1,1500,9,2,2,2,1,2,2,1,2,5,2,6,2,1,0,0,0,0,0,1,10,1
2,0,999919,99919,991999,999919,2,6,0,2,1,740,2,2,2,2,1,4,2,0,2,8,2,2,1,1,1,0,1,0,0,0,8,1
2,1,999919,99919,888888,999919,2,13,0,2,1,1200,9,2,2,2,1,1,1,1,2,6,2,4,2,1,0,1,1,0,0,0,7,0
4,0,999919,99919,991999,999919,2,3,0,2,1,1400,9,2,2,2,1,2,2,1,2,6,2,4,2,1,0,0,0,0,0,0,10,1
4,1,999919,99919,991999,999919,2,12,0,2,1,1081,9,2,2,2,1,1,2,1,2,6,2,2,2,1,0,1,0,0,0,0,10,1
2,1,999919,99919,991999,999919,2,11,0,2,1,1150,9,2,2,2,1,1,2,1,2,7,2,4,2,1,1,0,1,0,0,0,10,1
1,1,999919,99919,991999,999919,2,9,0,2,1,1350,9,2,2,2,1,4,2,1,2,9,8,2,1,1,1,0,0,0,0,1,10,1
3,1,999919,99919,991999,999919,2,13,0,2,1,7999,9,2,2,2,1,5,2,1,2,1,2,2,1,1,0,1,0,1,0,0,10,1
2,1,999919,99919,991999,999919,2,11,0,2,1,1695,9,2,2,2,1,1,1,1,2,8,2,1,1,1,1,0,1,0,0,0,8,1
4,0,999919,99919,991999,999919,2,11,0,2,1,1200,9,2,2,2,1,1,2,1,2,3,1,5,4,1,0,0,0,0,0,0,10,1
3,0,999919,99919,991999,999919,2,13,0,2,1,2600,9,2,2,2,1,1,2,1,2,6,2,2,1,1,0,1,0,1,0,0,10,1
3,1,999919,99919,991999,999919,2,11,0,2,1,1625,9,2,2,2,1,2,2,1,2,9,2,2,1,1,1,0,0,1,0,0,10,1
3,1,999919,99919,991999,999919,2,11,0,8,8,99999,9,9,9,9,0,4,8,8,8,7,3,9,1,1,1,0,0,1,0,0,3,0
1,0,999919,99919,991999,999919,2,3,0,2,1,1658,9,2,2,2,1,2,2,1,2,1,1,4,1,1,0,0,0,0,0,1,10,1
3,0,999919,99919,991999,999919,2,13,0,2,1,4200,9,2,2,2,1,5,2,1,2,3,2,4,4,1,0,1,0,1,0,0,10,1
2,1,999919,99919,991999,999919,2,12,0,2,1,1800,9,2,2,2,1,1,2,0,2,6,2,4,1,1,0,1,1,0,0,0,8,1
4,1,999919,99919,991999,999919,2,13,0,2,8,1600,9,2,2,2,1,1,2,1,2,7,8,2,1,1,1,1,0,0,0,0,9,1
2,0,999919,99919,991999,999919,2,3,0,2,1,1300,9,2,2,2,1,4,2,1,2,2,2,2,1,1,0,0,1,0,0,0,10,1
4,0,999919,99919,888888,999919,2,3,0,2,1,1700,2,2,2,2,1,4,2,1,2,6,2,8,1,1,0,0,0,0,0,0,9,1
4,0,999919,99919,991999,999919,2,3,0,2,1,1500,9,2,2,2,1,4,1,1,2,7,1,6,1,1,1,0,0,0,0,0,8,1
3,0,999919,99919,991999,999919,2,10,0,2,1,3100,9,2,2,2,1,1,2,1,1,8,2,2,1,1,1,0,0,1,0,0,8,1
3,1,999919,99919,991999,999919,2,13,0,2,1,2350,9,2,2,2,1,1,2,1,2,7,2,2,1,1,1,1,0,1,0,0,10,1
4,0,999919,99919,888888,999919,2,8,0,2,1,1400,9,2,2,2,1,4,2,1,1,1,2,2,1,1,0,0,0,0,0,0,7,0
2,1,999919,99919,991999,888888,2,11,0,2,1,2100,9,2,2,2,1,1,2,0,2,7,2,2,2,1,1,0,1,0,0,0,7,0
1,0,999919,99919,991999,999919,2,5,0,2,1,800,9,2,2,2,1,4,2,1,2,9,1,6,2,1,1,0,0,0,0,1,10,1
5,0,999919,99919,991999,999199,2,5,0,2,1,800,9,2,2,2,0,4,1,0,1,8,2,1,2,1,1,0,0,0,1,0,0,0
2,0,999919,99919,991999,999919,2,6,0,8,8,1595,9,2,2,2,8,8,8,8,8,10,8,8,1,1,1,0,1,0,0,0,4,0
2,0,999919,99919,991999,999919,2,6,0,2,1,850,9,2,2,2,1,2,2,1,2,8,1,7,2,1,1,0,1,0,0,0,10,1
2,0,999919,99919,991999,999919,2,5,0,2,1,1200,9,8,8,8,8,8,8,8,8,8,2,7,1,1,1,0,1,0,0,0,6,0
3,1,999919,99919,991999,999919,2,11,0,8,1,99999,9,9,9,9,1,1,2,1,2,8,2,9,1,1,1,0,0,1,0,0,9,1
4,0,999919,99919,999991,999991,2,5,0,2,8,1300,9,2,2,2,1,5,2,1,2,6,2,8,1,1,0,0,0,0,0,0,7,0
3,0,999919,99919,991999,999919,2,13,0,1,1,4500,9,2,2,2,1,5,2,1,2,6,2,2,1,1,0,1,0,1,0,0,8,1
3,1,999919,99919,991999,999919,2,13,0,2,1,1800,9,2,2,2,1,1,2,1,2,5,1,7,1,1,0,1,0,1,0,0,10,1
4,1,999919,99919,991999,999919,2,8,0,2,1,890,9,2,2,2,1,4,1,1,2,8,2,4,1,1,1,0,0,0,0,0,8,1
3,0,999919,99919,991999,999919,2,13,0,2,1,3100,9,2,2,2,1,1,2,1,2,8,2,2,1,1,1,1,0,1,0,0,10,1
4,0,999919,99919,991999,999919,2,3,0,2,1,1300,9,2,2,2,1,4,2,1,2,2,1,4,2,1,0,0,0,0,0,0,10,1
2,0,999919,99919,991999,999919,2,5,0,2,1,1200,9,2,2,2,1,2,2,1,2,10,2,2,2,1,1,0,1,0,0,0,10,1
4,1,999919,99919,991999,999919,2,12,0,2,2,1350,9,2,2,2,1,4,2,1,2,8,2,4,4,1,1,1,0,0,0,0,8,1
2,1,999919,99919,991999,999919,2,12,0,2,1,1900,9,2,2,2,1,1,2,1,2,6,2,2,1,1,0,1,1,0,0,0,10,1
2,1,999919,99919,991999,999919,2,12,0,2,1,950,9,2,2,2,1,1,2,1,2,8,2,8,2,1,1,1,1,0,0,0,10,1
2,1,999919,99919,991999,999919,2,8,0,2,1,1900,9,2,2,2,1,2,1,1,2,7,1,2,1,1,1,0,1,0,0,0,8,1
4,0,999919,99919,999991,999991,2,5,0,2,1,1550,9,2,2,2,1,2,2,1,2,4,2,6,4,1,0,0,0,0,0,0,8,1
2,0,999919,99919,991999,999919,2,3,0,2,1,1650,9,2,2,2,8,8,8,8,8,1,8,8,2,1,0,0,1,0,0,0,6,0
2,0,999919,99919,991999,999991,2,3,0,1,1,1000,9,2,2,2,1,2,2,1,2,2,1,4,2,1,0,0,1,0,0,0,7,0
3,1,999919,99919,991999,999919,2,13,0,8,8,1800,2,2,2,2,8,8,8,8,8,5,8,8,1,1,0,1,0,1,0,0,4,0
3,1,999919,99919,991999,999919,2,12,0,2,1,950,9,2,2,2,1,1,2,1,2,7,2,4,1,1,1,1,0,1,0,0,10,1
1,1,999919,99919,991999,999919,2,12,0,2,1,1050,9,2,2,2,1,1,2,1,2,8,2,4,1,1,1,1,0,0,0,1,10,1
4,1,999919,99919,991999,999919,2,8,0,2,1,1000,9,2,2,2,1,4,1,1,2,8,2,4,1,1,1,0,0,0,0,0,8,1
2,0,999919,99919,991999,999919,2,7,0,8,8,1500,9,2,2,2,8,8,8,8,8,7,8,8,1,1,1,0,1,0,0,0,4,0
4,0,999919,99919,991999,999919,2,3,0,2,8,1500,8,8,8,8,1,3,2,1,2,7,2,6,1,1,1,0,0,0,0,0,9,1
4,1,999919,99919,991999,999919,2,13,0,2,1,802,2,2,2,2,1,1,2,1,2,5,2,2,1,1,0,1,0,0,0,0,10,1
3,1,999919,99919,991999,999919,2,12,0,2,1,819,2,2,2,2,1,1,1,8,2,7,2,4,1,1,1,1,0,1,0,0,7,0
1,1,999919,99919,991999,999919,2,8,0,2,1,2000,9,2,2,2,0,1,1,0,2,9,2,4,1,1,1,0,0,0,0,1,4,0
3,0,999919,99919,991999,999919,2,11,0,2,1,7999,9,2,2,2,1,5,2,1,2,9,2,2,1,1,1,0,0,1,0,0,10,1
1,1,999919,99919,991999,999919,2,12,0,2,1,1022,9,2,2,2,1,1,2,1,2,6,2,4,2,1,0,1,0,0,0,1,10,1
1,1,999919,99919,991999,999919,2,12,0,2,1,1076,9,2,2,2,1,1,2,1,2,8,2,7,2,1,1,1,0,0,0,1,10,1
3,1,999919,99919,999991,999991,3,11,0,2,1,1800,9,2,2,2,1,2,2,0,1,9,2,8,4,1,1,0,0,1,0,0,4,0
3,1,999919,99919,991999,999919,2,12,0,2,1,1700,9,2,2,2,1,2,2,1,1,8,2,2,1,1,1,1,0,1,0,0,8,1
2,1,999919,99919,991999,999919,3,11,0,8,8,799,2,2,2,2,8,8,8,8,8,8,8,8,1,1,1,0,1,0,0,0,4,0
2,1,999919,99919,991999,999919,2,12,0,2,1,1200,9,2,2,2,0,4,2,1,2,7,2,4,2,1,1,1,1,0,0,0,8,1
2,0,999919,99919,991999,999919,2,5,0,1,1,800,2,2,2,2,1,4,2,1,1,9,2,6,2,1,1,0,1,0,0,0,6,0
4,1,999919,99919,991999,888888,2,13,0,8,8,1700,9,2,2,2,8,8,8,8,8,6,8,8,1,1,0,1,0,0,0,0,3,0
4,0,999919,99919,991999,999919,2,5,0,2,1,1950,9,2,2,2,1,2,2,1,2,5,1,4,1,1,0,0,0,0,0,0,10,1
4,1,999919,99919,919999,999919,2,10,0,2,1,1600,9,2,2,2,1,4,2,1,1,1,2,6,1,1,0,0,0,0,0,0,6,0
2,0,999919,99919,991999,999919,2,3,0,2,1,1000,2,2,2,2,1,3,2,1,2,7,2,8,1,1,1,0,1,0,0,0,10,1
1,1,999919,99919,991999,999919,2,12,0,2,1,1508,9,2,2,2,1,1,2,1,2,1,2,4,1,1,0,1,0,0,0,1,10,1
1,1,999919,99919,991999,999919,2,8,0,2,1,1300,9,2,2,2,1,5,2,1,2,8,3,4,1,1,1,0,0,0,0,1,10,1
3,0,999919,99919,991999,999919,2,13,0,2,1,2000,9,2,2,2,8,8,8,8,8,5,2,8,1,1,0,1,0,1,0,0,6,0
4,1,999919,99919,991999,999919,2,13,0,1,1,2045,9,2,2,2,8,8,8,8,8,1,8,8,1,1,0,1,0,0,0,0,4,0
3,1,999919,99919,991999,999919,2,11,0,2,1,1500,9,2,2,2,8,8,8,8,8,9,3,7,2,1,1,0,0,1,0,0,6,0
5,0,888888,88888,888888,888888,8,3,1,2,1,950,9,2,2,2,1,3,2,0,2,3,2,1,1,1,0,0,0,0,1,0,4,0
4,0,999919,99919,991999,999919,2,3,0,1,1,900,2,2,2,1,1,2,2,1,2,6,1,6,1,1,0,0,0,0,0,0,8,1
4,1,999919,99919,991999,999919,2,10,0,2,1,610,2,2,2,2,1,1,2,1,2,8,2,6,1,1,1,0,0,0,0,0,10,1
2,1,999919,99919,991999,999919,8,8,0,2,1,875,9,2,2,2,1,4,2,1,2,7,2,6,1,1,1,0,1,0,0,0,10,1
1,0,999919,99919,991999,999919,2,13,0,2,1,844,9,2,2,2,1,1,2,1,2,1,2,4,2,1,0,1,0,0,0,1,10,1
2,1,999919,99919,991999,999919,2,13,0,8,8,796,2,2,2,2,8,8,8,8,8,7,8,8,2,1,1,1,1,0,0,0,4,0
4,1,999919,99919,991999,999919,2,12,0,2,1,1650,2,2,2,2,0,1,2,1,2,6,2,4,1,1,0,1,0,0,0,0,8,1
4,1,999919,99919,991999,999919,2,13,0,2,1,1000,2,2,2,2,1,1,2,1,2,5,2,4,1,1,0,1,0,0,0,0,10,1
4,0,999919,99919,991999,999919,2,3,0,2,1,99999,9,9,9,9,1,4,2,1,2,6,1,9,1,1,0,0,0,0,0,0,10,1
2,1,999919,99919,991999,999919,2,7,0,2,1,700,9,2,2,2,1,2,2,1,2,9,1,7,2,1,1,0,1,0,0,0,10,1
4,0,999919,99919,991999,999919,2,3,0,2,1,1300,9,2,2,2,1,4,2,1,2,7,1,6,4,1,1,0,0,0,0,0,10,1
1,1,999919,99919,991999,999919,2,11,0,2,1,1285,2,2,2,2,1,3,2,1,2,5,2,6,1,1,0,0,0,0,0,1,10,1
3,0,999919,99919,991999,999919,2,13,0,2,1,2000,9,2,2,2,0,3,2,0,2,6,2,5,1,1,0,1,0,1,0,0,6,0
1,0,999919,99919,991999,999919,2,3,0,2,1,99999,9,9,9,9,1,4,2,1,2,4,1,9,1,1,0,0,0,0,0,1,10,1
2,1,999919,99919,919999,999919,2,10,0,2,1,1000,9,2,2,2,1,1,2,1,2,8,2,4,1,1,1,0,1,0,0,0,8,1
1,1,999919,99919,919999,999919,2,11,0,1,1,1221,9,1,2,2,0,1,1,1,2,7,2,4,2,1,1,0,0,0,0,1,2,0
1,0,999919,99919,991999,999919,2,5,0,8,1,600,9,2,2,2,1,5,2,1,2,9,1,2,1,1,1,0,0,0,0,1,9,1
2,1,999919,99919,991999,999919,2,10,0,2,1,960,2,2,2,2,1,1,2,1,2,6,3,4,1,1,0,0,1,0,0,0,10,1
3,0,999919,99919,991999,999919,2,13,0,2,1,3850,9,2,2,2,1,1,2,1,2,7,2,2,1,1,1,1,0,1,0,0,10,1
4,0,999919,99919,991999,999919,2,3,0,2,1,1000,9,2,2,2,1,4,2,1,1,3,1,6,2,1,0,0,0,0,0,0,8,1
2,0,999919,99919,991999,999919,2,3,0,8,8,900,2,2,2,2,8,8,8,8,8,10,8,8,1,1,1,0,1,0,0,0,4,0
2,0,999919,99919,991999,999919,2,13,0,2,1,1367,2,2,3,2,0,4,2,1,2,1,2,4,4,1,0,1,1,0,0,0,8,1
2,0,999919,99919,991999,999919,2,13,0,2,1,1900,9,2,2,2,1,1,2,1,2,3,3,2,1,1,0,1,1,0,0,0,10,1
4,1,999919,99919,991999,999919,2,13,0,2,1,1400,9,2,2,2,1,2,2,1,2,5,2,4,1,1,0,1,0,0,0,0,10,1
4,0,999919,99919,991999,999919,2,1,0,1,1,1700,9,2,2,2,0,1,2,1,2,8,2,6,1,1,1,0,0,0,0,0,6,0
1,1,999919,99919,991999,999919,2,11,0,2,1,950,9,2,2,2,1,5,2,1,2,8,2,2,4,1,1,0,0,0,0,1,10,1
2,1,999919,99919,991999,999919,2,13,0,2,8,1800,2,2,2,2,1,4,2,1,2,7,2,2,1,1,1,1,1,0,0,0,9,1
2,1,999919,99919,991999,999919,2,12,0,2,1,1525,9,2,2,2,1,1,2,0,1,7,2,2,1,1,1,1,1,0,0,0,6,0
4,1,999919,99919,991999,999919,2,11,0,1,1,915,9,2,2,2,0,4,1,1,2,6,2,2,2,1,0,0,0,0,0,0,4,0
1,1,999919,19999,919999,999919,3,12,0,8,8,975,9,2,2,2,8,8,8,8,8,7,8,8,1,1,1,1,0,0,0,1,0,0
4,1,999919,99919,991999,999919,2,13,0,2,1,1350,9,2,2,2,1,4,2,0,2,7,2,2,4,1,1,1,0,0,0,0,8,1
4,1,999919,99919,991999,999919,2,12,0,1,1,1475,2,1,2,2,0,1,2,1,2,6,2,4,1,1,0,1,0,0,0,0,6,0
1,0,999919,99919,991999,888888,2,5,0,2,1,1877,9,2,2,2,1,5,2,1,2,5,2,8,1,1,0,0,0,0,0,1,9,1
2,1,999919,99919,991999,999919,2,12,0,2,1,893,9,2,2,2,1,3,2,1,2,7,2,4,2,1,1,1,1,0,0,0,10,1
2,1,999919,99919,991999,999991,2,6,0,8,8,1347,2,1,2,2,8,8,8,8,8,7,8,8,2,1,1,0,1,0,0,0,3,0
4,1,999919,99919,991999,999919,2,8,0,2,1,1500,9,2,2,2,1,1,2,1,2,7,1,4,1,1,1,0,0,0,0,0,10,1
4,0,999919,99919,991999,999919,2,3,0,2,1,1300,9,2,2,2,1,4,2,1,2,9,1,6,1,1,1,0,0,0,0,0,10,1
3,1,999919,99919,991999,999919,2,10,0,2,1,1800,9,2,2,2,0,1,1,0,2,9,2,2,1,1,1,0,0,1,0,0,4,0
1,1,999919,99919,991999,999919,2,11,0,2,1,868,9,1,2,2,1,2,2,1,2,8,2,4,2,1,1,0,0,0,0,1,10,1
4,0,999919,99919,991999,999919,2,3,0,2,1,1500,2,2,2,2,1,4,2,1,2,5,1,8,1,1,0,0,0,0,0,0,10,1
4,0,999919,99919,991999,999919,2,7,0,2,2,1050,9,2,2,2,1,3,2,1,2,7,2,6,4,1,1,0,0,0,0,0,8,1
2,0,999919,99919,991999,999919,2,12,0,1,1,600,2,2,2,2,1,1,2,1,2,8,3,4,1,1,1,1,1,0,0,0,8,1
1,0,999919,99919,991999,999919,2,4,0,1,1,1400,9,2,2,2,1,4,2,1,2,7,1,2,2,1,1,0,0,0,0,1,8,1
4,1,999919,99919,991999,999919,2,12,0,8,8,1300,9,8,8,8,8,8,8,8,8,1,8,8,4,1,0,1,0,0,0,0,4,0
2,1,999919,99919,991999,991999,2,11,0,2,1,1150,9,2,2,2,1,5,2,0,2,8,2,2,1,1,1,0,1,0,0,0,6,0
1,1,999919,99919,991999,999919,2,8,0,2,1,1006,9,2,2,2,1,1,2,1,2,9,2,4,1,1,1,0,0,0,0,1,10,1
4,0,999919,99919,991999,999919,2,5,0,2,1,2600,9,2,2,2,1,2,2,1,2,7,2,6,3,1,1,0,0,0,0,0,10,1
2,0,999919,99919,991999,999919,2,5,0,2,1,1200,9,2,2,8,1,5,2,1,2,9,1,4,1,1,1,0,1,0,0,0,10,1
4,1,999919,99919,991999,999919,2,12,0,1,1,942,2,2,2,2,0,1,1,0,1,7,1,4,1,1,1,1,0,0,0,0,0,0
1,1,999919,99919,991999,999919,2,12,0,2,1,99999,9,9,9,9,0,1,2,1,2,9,2,9,2,1,1,1,0,0,0,1,8,1
1,1,999919,99919,119999,991199,2,11,0,2,1,1400,9,2,2,2,1,1,2,1,2,8,2,4,1,1,1,0,0,0,0,1,4,0
1,1,999919,99919,991999,999919,2,11,0,2,1,850,9,2,2,2,1,5,2,1,2,8,2,4,1,1,1,0,0,0,0,1,10,1
3,1,999199,99919,991999,999919,2,9,0,2,1,1000,2,2,2,2,1,1,1,0,2,7,1,6,4,1,1,0,0,1,0,0,4,0
4,0,999919,99919,991999,999919,2,5,0,2,1,1350,9,2,2,1,1,2,2,1,2,7,8,6,1,1,1,0,0,0,0,0,10,1
1,1,999919,99919,991999,999919,2,11,0,2,2,850,9,2,2,2,1,1,2,1,2,9,2,2,2,1,1,0,0,0,0,1,8,1
4,1,999919,99919,991999,999919,2,12,0,2,1,1480,9,2,2,2,1,2,2,1,1,6,2,4,2,1,0,1,0,0,0,0,8,1
2,1,999919,99919,991999,999919,2,11,0,2,8,499,9,2,2,2,1,4,2,1,2,9,2,4,1,1,1,0,1,0,0,0,9,1
1,1,999919,99919,991999,999919,2,11,0,2,1,1300,9,2,2,2,0,5,2,1,1,9,2,2,2,1,1,0,0,0,0,1,6,0
3,1,999919,99919,991999,999919,2,13,0,1,1,7999,9,2,2,2,1,1,2,1,2,1,8,4,4,1,0,1,0,1,0,0,8,1
2,1,999919,99919,991999,999919,2,8,0,1,1,1200,9,2,2,2,0,2,2,1,2,7,2,4,2,1,1,0,1,0,0,0,6,0
1,0,999919,99919,991999,999919,2,12,0,2,1,950,2,2,2,2,1,1,2,1,2,6,2,4,1,1,0,1,0,0,0,1,10,1
1,1,999919,99199,991999,999919,2,11,0,2,2,440,2,2,2,2,1,5,2,1,2,9,2,4,1,1,1,0,0,0,0,1,6,0
3,1,999919,99919,991999,999919,2,13,0,2,1,193,2,2,2,2,1,1,2,1,2,8,2,2,2,1,1,1,0,1,0,0,10,1
4,1,999919,99919,991999,999919,2,12,0,2,1,2200,9,2,2,2,1,5,2,1,2,1,3,2,4,1,0,1,0,0,0,0,10,1
1,0,999919,99919,991999,999919,2,13,0,2,1,1900,2,2,2,2,1,2,2,1,2,4,2,4,1,1,0,1,0,0,0,1,10,1
1,1,919999,99919,119999,999919,3,12,0,1,1,800,2,2,2,2,0,1,2,0,1,7,2,4,2,1,1,1,0,0,0,1,-3,0
2,1,999919,99919,991999,999919,2,13,0,2,1,2650,9,2,2,2,1,1,2,0,1,5,2,2,1,1,0,1,1,0,0,0,6,0
3,1,999919,99919,991999,999919,2,10,0,2,1,2100,9,2,2,2,1,1,2,1,2,9,2,2,1,1,1,0,0,1,0,0,10,1
2,0,999919,99919,991999,999919,2,5,0,2,1,1500,9,2,2,2,1,2,2,1,2,1,1,7,2,1,0,0,1,0,0,0,10,1
3,1,999919,99919,991999,999919,2,8,0,8,8,1800,9,2,2,2,8,8,8,8,8,8,8,8,1,1,1,0,0,1,0,0,4,0
1,1,999919,99919,991999,999919,2,11,0,2,1,1477,9,2,2,2,1,2,1,1,2,9,2,2,2,1,1,0,0,0,0,1,8,1
2,0,999919,99919,991999,999919,1,5,0,2,1,250,9,2,2,2,1,4,1,1,1,10,2,6,2,1,1,0,1,0,0,0,6,0
2,1,999919,99919,991999,999919,2,11,0,2,1,1408,9,2,2,2,1,1,2,1,2,5,2,3,2,1,0,0,1,0,0,0,10,1
1,1,999919,99919,991999,999919,2,11,0,2,1,1200,9,2,2,2,1,2,2,1,2,6,3,7,2,1,0,0,0,0,0,1,10,1
4,0,999919,99919,991999,999919,2,12,0,2,1,2450,9,2,2,2,1,5,1,1,2,7,3,2,1,1,1,1,0,0,0,0,8,1
1,1,999919,99919,991999,999919,2,12,0,2,1,911,9,2,2,1,0,1,2,1,1,8,2,4,2,1,1,1,0,0,0,1,6,0
1,0,199999,99919,919999,199999,3,5,0,2,1,300,9,2,2,2,1,2,2,1,2,10,2,1,2,1,1,0,0,0,0,1,4,0
5,1,999919,99919,991999,999919,2,5,0,2,1,1600,9,2,2,2,1,2,2,1,2,7,2,2,1,1,1,0,0,0,1,0,10,1
3,1,999919,99919,991999,999919,2,12,0,2,1,1005,2,2,2,2,0,2,2,1,2,8,2,4,1,1,1,1,0,1,0,0,8,1
