Borough,Control,Condition of External Walls,Condition of Windows,Condition of Stairways,Condition of Floors,Condition of Building,Number of Units in Building,Complete Plumbing Facilities,Toilet Breakdowns,Kitchen Facilities Functioning,Monthly Contract Rent,Senior Citizen Rent Increase Exemption (SCRIE),Public Assistance Shelter Allowance,Another Federal Housing Subsidy Program,Another State or City Housing Subsidy Program,Heating Equipment Breakdown,Exterminator Service,Cracks or Holes in Interior Walls or Ceiling,Broken Plaster or Peeling Paint on Ceiling or Inside Walls,Water Leakage Inside Apartment,Year Built,Owner in Building,Length of Lease,Race,New Rent Law,Old,More_units,Brooklyn,Manhattan,Staten Island,Bronx,score,good
5,0,999919,99919,991999,999919,2,3,0,2,1,900,9,2,2,2,1,4,2,1,2,1,1,2,1,1,0,0,0,0,1,0,10,1
2,0,999919,99919,991999,999991,2,3,0,8,8,1200,9,2,2,2,8,8,8,8,8,7,8,8,1,1,1,0,1,0,0,0,3,0
2,0,999919,99919,991999,999919,1,3,0,2,1,1300,9,2,2,2,1,5,2,0,2,5,1,6,2,1,0,0,1,0,0,0,8,1
4,0,999919,99919,991999,999919,2,5,0,2,1,1125,9,2,2,2,1,1,2,1,2,8,2,6,1,1,1,0,0,0,0,0,10,1
3,1,999919,99919,991999,999919,2,12,0,8,8,220,2,2,2,8,1,1,2,1,2,1,2,8,1,1,0,1,0,1,0,0,8,1
2,1,999919,99919,991999,999919,2,12,0,2,1,1248,2,2,2,2,1,1,2,1,2,5,2,2,1,1,0,1,1,0,0,0,10,1
3,1,999919,99919,999991,999919,2,11,0,2,1,1080,9,2,2,2,0,4,1,0,1,8,2,2,4,1,1,0,0,1,0,0,1,0
5,0,999919,99919,991999,999919,2,3,0,2,1,1000,9,2,2,2,1,4,2,1,2,2,1,6,1,1,0,0,0,0,1,0,10,1
3,0,999919,99919,991999,999919,2,11,0,2,1,7999,9,2,2,2,0,5,2,1,2,7,2,2,4,1,1,0,0,1,0,0,8,1
2,0,999919,99919,991999,999919,2,11,0,2,1,4400,9,2,2,2,1,1,2,0,2,9,2,2,4,1,1,0,1,0,0,0,8,1
4,0,999919,99919,991999,999919,2,3,0,8,8,1650,9,2,2,2,1,2,2,1,2,5,2,2,2,1,0,0,0,0,0,0,8,1
4,0,999919,99919,991999,999919,2,13,0,2,1,2200,9,2,2,2,0,1,2,1,2,8,2,2,1,1,1,1,0,0,0,0,8,1
1,1,199999,99919,991999,999991,2,10,0,2,2,1075,9,2,2,2,0,4,2,1,2,8,2,4,2,1,1,0,0,0,0,1,3,0
4,1,999919,99919,991999,999919,2,12,0,1,8,1200,2,2,2,2,1,1,2,1,2,7,8,4,1,1,1,1,0,0,0,0,7,0
2,0,999919,99919,991999,999919,2,7,0,2,8,1200,9,2,2,2,1,4,2,1,1,8,2,7,2,1,1,0,1,0,0,0,7,0
1,1,999919,99919,991999,999919,2,12,0,2,1,712,9,2,2,2,1,1,2,1,1,7,2,4,6,1,1,1,0,0,0,1,8,1
4,1,999919,99919,991999,999919,2,11,0,1,1,1550,9,2,2,2,1,2,2,1,2,8,2,2,1,1,1,0,0,0,0,0,8,1
3,1,999919,99919,888888,999919,2,11,0,2,1,913,9,2,2,2,1,5,2,1,1,9,2,4,1,1,1,0,0,1,0,0,7,0
1,0,999919,99919,991999,888888,2,5,0,2,1,99999,9,9,9,9,1,2,2,1,2,8,2,9,1,1,1,0,0,0,0,1,9,1
2,1,999919,99919,991999,999919,2,8,0,2,1,1650,9,2,2,2,1,4,2,1,1,10,2,2,1,1,1,0,1,0,0,0,8,1
2,1,999919,99919,991999,999919,2,13,0,2,1,1100,9,2,2,2,1,4,2,1,2,5,2,2,1,1,0,1,1,0,0,0,10,1
3,0,999919,99919,991999,999919,2,13,0,2,1,2500,9,2,2,2,1,5,2,1,2,5,2,2,4,1,0,1,0,1,0,0,10,1
4,0,999919,99919,991999,999919,2,3,0,8,8,1800,9,2,2,2,8,8,8,8,8,1,1,8,4,1,0,0,0,0,0,0,4,0
2,1,999919,99919,991999,999919,2,11,0,2,1,1000,9,2,2,2,0,4,2,1,2,7,2,2,1,1,1,0,1,0,0,0,8,1
3,1,999919,99919,991999,999919,2,13,0,1,1,1850,9,2,2,2,1,1,2,0,2,8,3,2,1,1,1,1,0,1,0,0,6,0
2,0,999919,99919,991999,999919,2,3,0,2,1,2850,9,2,2,2,0,4,2,1,1,10,2,4,1,1,1,0,1,0,0,0,6,0
4,0,999919,99919,991999,999919,2,6,0,2,1,1500,9,2,2,2,1,2,1,1,1,8,2,2,1,1,1,0,0,0,0,0,6,0
2,1,999919,99919,888888,999919,2,11,0,2,1,1700,9,2,2,2,1,1,2,1,2,7,2,4,1,1,1,0,1,0,0,0,9,1
2,0,999919,99919,991999,999919,2,5,0,8,1,1700,9,2,2,2,0,3,2,1,2,9,2,6,1,1,1,0,1,0,0,0,7,0
4,0,999919,99919,991999,999919,2,5,0,2,1,600,9,2,2,2,1,2,2,1,2,7,1,2,5,1,1,0,0,0,0,0,10,1
2,1,999919,99919,991999,999919,2,8,0,2,1,1000,9,2,2,2,1,2,2,1,2,7,2,5,2,1,1,0,1,0,0,0,10,1
2,1,999919,99919,991999,999919,2,8,0,2,1,950,9,2,2,2,1,5,2,1,2,7,2,4,2,1,1,0,1,0,0,0,10,1
2,1,999919,99919,991999,999919,2,11,0,2,1,3600,2,2,2,2,1,1,2,1,1,8,2,6,1,1,1,0,1,0,0,0,8,1
2,0,999919,99919,919999,991999,2,6,0,2,1,900,9,2,2,2,0,1,2,1,2,7,2,5,1,1,1,0,1,0,0,0,4,0
3,1,999919,99919,991999,999919,2,11,0,2,1,2074,9,2,2,2,1,1,2,1,1,9,2,4,1,1,1,0,0,1,0,0,8,1
